city,district,sub_district,area_sqft,bhk,property_type,furnishing,price_inr,price_per_sqft
Gurugram,Cyber City,DLF Cyber City,750.0,1,Apartment,Fully Furnished,11500000.0,15333.333333333334
Gurugram,Cyber City,DLF Cyber City,2200.0,5,Apartment,Fully Furnished,48500000.0,22045.454545454544
Gurugram,Cyber City,DLF Cyber City,2200.0,4,Builder Floor,Fully Furnished,48500000.0,22045.454545454544
Gurugram,Cyber City,DLF Cyber City,1100.0,2,Apartment,Fully Furnished,16500000.0,15000.0
Gurugram,Cyber City,DLF Cyber City,1500.0,3,Apartment,Fully Furnished,26500000.0,17666.666666666668
Gurugram,Cyber City,Phase 2,1450.0,3,Apartment,Semi-Furnished,23500000.0,16206.896551724138
Gurugram,Cyber City,Phase 2,700.0,1,Apartment,Semi-Furnished,10200000.0,14571.42857142857
Gurugram,Cyber City,Phase 2,1050.0,2,Apartment,Semi-Furnished,14800000.0,14095.238095238095
Gurugram,Cyber City,Phase 2,2100.0,4,Builder Floor,Semi-Furnished,42500000.0,20238.095238095237
Gurugram,Cyber City,Phase 2,2150.0,5,Apartment,Semi-Furnished,42500000.0,19767.441860465115
Gurugram,Cyber City,Phase 3,1000.0,2,Apartment,Unfurnished,13500000.0,13500.0
Gurugram,Cyber City,Phase 3,1400.0,3,Apartment,Unfurnished,21500000.0,15357.142857142857
Gurugram,Cyber City,Phase 3,2000.0,4,Builder Floor,Unfurnished,38500000.0,19250.0
Gurugram,Cyber City,Phase 3,700.0,1,Apartment,Unfurnished,9500000.0,13571.42857142857
Gurugram,Cyber City,Phase 3,2100.0,5,Apartment,Unfurnished,38500000.0,18333.333333333332
Gurugram,DLF City,Phase 1,1400.0,3,Apartment,Fully Furnished,18500000.0,13214.285714285714
Gurugram,DLF City,Phase 1,3000.0,5,Independent House,Fully Furnished,68500000.0,22833.333333333332
Gurugram,DLF City,Phase 1,1800.0,4,Apartment,Fully Furnished,28500000.0,15833.333333333334
Gurugram,DLF City,Phase 1,900.0,1,Apartment,Fully Furnished,12500000.0,13888.888888888889
Gurugram,DLF City,Phase 1,2600.0,5,Apartment,Fully Furnished,48500000.0,18653.846153846152
Gurugram,DLF City,Phase 2,1750.0,4,Apartment,Semi-Furnished,26500000.0,15142.857142857143
Gurugram,DLF City,Phase 2,850.0,1,Apartment,Semi-Furnished,11200000.0,13176.470588235294
Gurugram,DLF City,Phase 2,1350.0,3,Apartment,Semi-Furnished,16800000.0,12444.444444444445
Gurugram,DLF City,Phase 2,2900.0,5,Independent House,Semi-Furnished,62500000.0,21551.724137931036
Gurugram,DLF City,Phase 2,2550.0,5,Apartment,Semi-Furnished,44500000.0,17450.980392156864
Gurugram,DLF City,Phase 3,2500.0,5,Apartment,Semi-Furnished,41500000.0,16600.0
Gurugram,DLF City,Phase 3,1700.0,4,Apartment,Semi-Furnished,24500000.0,14411.764705882353
Gurugram,DLF City,Phase 3,850.0,1,Apartment,Semi-Furnished,10500000.0,12352.941176470587
Gurugram,DLF City,Phase 3,2800.0,5,Independent House,Semi-Furnished,58500000.0,20892.85714285714
Gurugram,DLF City,Phase 3,1300.0,3,Apartment,Semi-Furnished,15500000.0,11923.076923076924
Gurugram,DLF City,Phase 4,950.0,1,Apartment,Fully Furnished,13200000.0,13894.736842105263
