city,district,sub_district,area_sqft,bhk,property_type,furnishing,price_inr,price_per_sqft
Bangalore,BTM Layout,BTM 1st Stage,750.0,1,Apartment,Semi-Furnished,5800000.0,7733.333333333333
Bangalore,BTM Layout,BTM 1st Stage,2200.0,4,Builder Floor,Semi-Furnished,28500000.0,12954.545454545454
Bangalore,BTM Layout,BTM 1st Stage,2200.0,5,Apartment,Semi-Furnished,24500000.0,11136.363636363636
Bangalore,BTM Layout,BTM 1st Stage,1500.0,3,Apartment,Semi-Furnished,14200000.0,9466.666666666666
Bangalore,BTM Layout,BTM 1st Stage,1100.0,2,Apartment,Semi-Furnished,8500000.0,7727.272727272727
Bangalore,BTM Layout,BTM 2nd Stage,2100.0,4,Builder Floor,Unfurnished,24500000.0,11666.666666666666
Bangalore,BTM Layout,BTM 2nd Stage,700.0,1,Apartment,Unfurnished,5200000.0,7428.571428571428
Bangalore,BTM Layout,BTM 2nd Stage,2150.0,5,Apartment,Unfurnished,22200000.0,10325.581395348838
Bangalore,BTM Layout,BTM 2nd Stage,1450.0,3,Apartment,Unfurnished,12800000.0,8827.586206896553
Bangalore,BTM Layout,BTM 2nd Stage,1050.0,2,Apartment,Unfurnished,7800000.0,7428.571428571428
Bangalore,BTM Layout,Silk Board,2220.0,5,Apartment,Semi-Furnished,25500000.0,11486.486486486487
Bangalore,BTM Layout,Silk Board,2250.0,4,Builder Floor,Semi-Furnished,29500000.0,13111.111111111111
Bangalore,BTM Layout,Silk Board,1120.0,2,Apartment,Semi-Furnished,8800000.0,7857.142857142857
Bangalore,BTM Layout,Silk Board,1520.0,3,Apartment,Semi-Furnished,14800000.0,9736.842105263158
Bangalore,BTM Layout,Silk Board,780.0,1,Apartment,Semi-Furnished,6200000.0,7948.717948717948
Bangalore,Bannerghatta Road,Arekere,2350.0,5,Apartment,Semi-Furnished,24500000.0,10425.531914893618
Bangalore,Bannerghatta Road,Arekere,850.0,1,Apartment,Semi-Furnished,5800000.0,6823.529411764706
Bangalore,Bannerghatta Road,Arekere,1650.0,4,Apartment,Semi-Furnished,14200000.0,8606.060606060606
Bangalore,Bannerghatta Road,Arekere,1250.0,3,Apartment,Semi-Furnished,8500000.0,6800.0
Bangalore,Bannerghatta Road,Arekere,2500.0,4,Builder Floor,Semi-Furnished,28500000.0,11400.0
Bangalore,Bannerghatta Road,Bilekahalli,880.0,1,Apartment,Semi-Furnished,6200000.0,7045.454545454545
Bangalore,Bannerghatta Road,Bilekahalli,1280.0,3,Apartment,Semi-Furnished,8800000.0,6875.0
Bangalore,Bannerghatta Road,Bilekahalli,1680.0,4,Apartment,Semi-Furnished,15200000.0,9047.619047619048
Bangalore,Bannerghatta Road,Bilekahalli,2380.0,5,Apartment,Semi-Furnished,26200000.0,11008.403361344537
Bangalore,Bannerghatta Road,Bilekahalli,2550.0,5,Independent House,Semi-Furnished,29500000.0,11568.627450980392
Bangalore,Bannerghatta Road,Gottigere,2350.0,4,Builder Floor,Semi-Furnished,22500000.0,9574.468085106382
