District,Sub_District,Area_SqFt,BHK,Property_Type,Furnishing,Price_INR
Central Delhi,Connaught Place,1200,2,Apartment,Semi-Furnished,28500000
Central Delhi,Karol Bagh,1100,2,Apartment,Fully Furnished,22500000
Central Delhi,Paharganj,1000,2,Apartment,Unfurnished,18500000
South Delhi,Greater Kailash,1400,3,Apartment,Fully Furnished,35500000
South Delhi,Defence Colony,1350,3,Apartment,Semi-Furnished,32500000
South Delhi,Lajpat Nagar,1200,2,Apartment,Semi-Furnished,24500000
South Delhi,Green Park,1300,3,Apartment,Unfurnished,28500000
South Delhi,Saket,1250,3,Apartment,Semi-Furnished,26800000
South Delhi,Vasant Kunj,1400,3,Apartment,Fully Furnished,32200000
South Delhi,Hauz Khas,1300,3,Apartment,Semi-Furnished,29500000
West Delhi,Rajouri Garden,1100,2,Apartment,Unfurnished,16500000
West Delhi,Janakpuri,1050,2,Apartment,Semi-Furnished,15200000
West Delhi,Tilak Nagar,1000,2,Apartment,Unfurnished,14500000
West Delhi,Vikaspuri,1150,2,Apartment,Semi-Furnished,16800000
West Delhi,Uttam Nagar,950,2,Apartment,Unfurnished,12500000
North Delhi,Civil Lines,1200,2,Apartment,Semi-Furnished,22500000
North Delhi,Model Town,1150,2,Apartment,Fully Furnished,20800000
North Delhi,Kamla Nagar,1000,2,Apartment,Semi-Furnished,16500000
North Delhi,GTB Nagar,950,2,Apartment,Unfurnished,15200000
North Delhi,Mukherjee Nagar,1050,2,Apartment,Semi-Furnished,17200000
East Delhi,Laxmi Nagar,1000,2,Apartment,Unfurnished,12800000
East Delhi,Preet Vihar,1100,2,Apartment,Semi-Furnished,14500000
East Delhi,Mayur Vihar,1150,2,Apartment,Semi-Furnished,15800000
East Delhi,IP Extension,950,2,Apartment,Unfurnished,12200000
East Delhi,Krishna Nagar,1000,2,Apartment,Semi-Furnished,13500000
New Delhi,Chanakyapuri,1800,4,Apartment,Fully Furnished,65000000
New Delhi,Lutyens Delhi,2000,4,Apartment,Fully Furnished,85000000
New Delhi,Lodhi Road,1600,3,Apartment,Fully Furnished,48500000
New Delhi,Khan Market,1400,3,Apartment,Semi-Furnished,42500000
Southwest Delhi,Dwarka,1300,3,Apartment,Semi-Furnished,18500000
Southwest Delhi,Vasant Vihar,1500,3,Apartment,Fully Furnished,38500000
Southwest Delhi,RK Puram,1200,2,Apartment,Semi-Furnished,22500000
Southwest Delhi,Mahipalpur,1100,2,Apartment,Unfurnished,16500000
Northwest Delhi,Rohini,1200,2,Apartment,Semi-Furnished,15500000
Northwest Delhi,Pitampura,1150,2,Apartment,Semi-Furnished,14800000
Northwest Delhi,Shalimar Bagh,1100,2,Apartment,Unfurnished,13800000
Northwest Delhi,Ashok Vihar,1050,2,Apartment,Semi-Furnished,13200000
Central Delhi,Connaught Place,2500,5,Independent House,Semi-Furnished,85000000
Central Delhi,Karol Bagh,2200,4,Independent House,Fully Furnished,65000000
Central Delhi,Paharganj,2000,4,Independent House,Unfurnished,48500000
South Delhi,Greater Kailash,3000,5,Independent House,Fully Furnished,125000000
South Delhi,Defence Colony,2800,5,Independent House,Semi-Furnished,108000000
South Delhi,Lajpat Nagar,2400,4,Independent House,Semi-Furnished,78500000
South Delhi,Green Park,2600,5,Independent House,Unfurnished,95000000
South Delhi,Saket,2500,4,Independent House,Semi-Furnished,85000000
