District,Sub_District,Area_SqFt,BHK,Property_Type,Furnishing,Price_INR
Bandra,Bandra West,1200,2,Apartment,Semi-Furnished,18500000
Bandra,Bandra East,950,2,Apartment,Fully Furnished,14200000
Andheri,Andheri West,1100,2,Apartment,Unfurnished,12800000
Andheri,Andheri East,1050,2,Apartment,Semi-Furnished,11200000
Powai,Hiranandani Gardens,1400,3,Apartment,Fully Furnished,19500000
Powai,Central Powai,1250,3,Apartment,Semi-Furnished,16800000
Thane,Ghodbunder Road,1300,3,Apartment,Unfurnished,8900000
Thane,Kasarvadavali,1150,2,Apartment,Semi-Furnished,7800000
Malad,Malad West,1000,2,Apartment,Unfurnished,9800000
Malad,Malad East,950,2,Apartment,Semi-Furnished,8600000
Borivali,Borivali West,1200,2,Apartment,Unfurnished,9200000
Borivali,Borivali East,1100,2,Apartment,Semi-Furnished,8400000
Kandivali,Kandivali West,1050,2,Apartment,Unfurnished,8800000
Kandivali,Kandivali East,1000,2,Apartment,Semi-Furnished,8200000
Goregaon,Goregaon West,1300,3,Apartment,Semi-Furnished,14500000
Goregaon,Goregaon East,1250,3,Apartment,Unfurnished,12800000
Jogeshwari,Jogeshwari West,950,2,Apartment,Unfurnished,8500000
Jogeshwari,Jogeshwari East,900,2,Apartment,Semi-Furnished,7800000
Vile Parle,Vile Parle West,1100,2,Apartment,Semi-Furnished,13200000
Vile Parle,Vile Parle East,1050,2,Apartment,Unfurnished,11800000
Santacruz,Santacruz West,1200,2,Apartment,Fully Furnished,15800000
Santacruz,Santacruz East,1150,2,Apartment,Semi-Furnished,13500000
Khar,Khar West,1000,2,Apartment,Fully Furnished,16500000
Khar,Khar East,950,2,Apartment,Semi-Furnished,14200000
Juhu,Juhu Beach,1500,3,Apartment,Fully Furnished,28500000
Juhu,Juhu Scheme,1400,3,Apartment,Semi-Furnished,24800000
Versova,Versova Village,1100,2,Apartment,Semi-Furnished,12200000
Versova,New Versova,1050,2,Apartment,Unfurnished,11500000
Lokhandwala,Lokhandwala Complex,1200,2,Apartment,Fully Furnished,16800000
Lokhandwala,New Lokhandwala,1150,2,Apartment,Semi-Furnished,15200000
Worli,Lower Parel,1800,4,Apartment,Fully Furnished,45000000
Worli,Worli Naka,1650,3,Apartment,Fully Furnished,38500000
Prabhadevi,Prabhadevi Main,1400,3,Apartment,Semi-Furnished,28500000
Prabhadevi,Siddhivinayak,1300,3,Apartment,Unfurnished,25200000
Matunga,Matunga West,1200,2,Apartment,Semi-Furnished,16500000
Matunga,Matunga East,1150,2,Apartment,Unfurnished,15200000
Dadar,Dadar West,1100,2,Apartment,Semi-Furnished,18200000
Dadar,Dadar East,1050,2,Apartment,Unfurnished,16800000
Chembur,Chembur Colony,1300,3,Apartment,Semi-Furnished,14500000
Chembur,RCF Colony,1250,3,Apartment,Unfurnished,13200000
Ghatkopar,Ghatkopar West,1200,2,Apartment,Semi-Furnished,11800000
Ghatkopar,Ghatkopar East,1150,2,Apartment,Unfurnished,10800000
Kurla,Kurla West,1000,2,Apartment,Unfurnished,9200000
Kurla,Kurla East,950,2,Apartment,Semi-Furnished,8600000
Vikhroli,Vikhroli West,1250,3,Apartment,Semi-Furnished,13800000
Vikhroli,Vikhroli East,1200,3,Apartment,Unfurnished,12600000
Mulund,Mulund West,1300,3,Apartment,Semi-Furnished,12200000
Mulund,Mulund East,1250,3,Apartment,Unfurnished,11500000
Bhandup,Bhandup West,1150,2,Apartment,Unfurnished,9800000
Bhandup,Bhandup East,1100,2,Apartment,Semi-Furnished,9200000
Kanjurmarg,Kanjurmarg West,1200,2,Apartment,Semi-Furnished,10500000
Kanjurmarg,Kanjurmarg East,1150,2,Apartment,Unfurnished,9800000
Bandra,Bandra West,2200,4,Independent House,Semi-Furnished,52000000
