city,district,sub_district,area_sqft,bhk,property_type,furnishing,price_inr,price_per_sqft
Noida,Greater Noida,Alpha 1,850.0,1,Apartment,Semi-Furnished,5500000.0,6470.588235294118
Noida,Greater Noida,Alpha 1,1750.0,4,Apartment,Semi-Furnished,13200000.0,7542.857142857143
Noida,Greater Noida,Alpha 1,1350.0,3,Apartment,Semi-Furnished,8200000.0,6074.074074074074
Noida,Greater Noida,Alpha 1,2700.0,5,Independent House,Semi-Furnished,26500000.0,9814.814814814816
Noida,Greater Noida,Alpha 1,2450.0,5,Apartment,Semi-Furnished,22500000.0,9183.673469387755
Noida,Greater Noida,Beta 1,2600.0,5,Independent House,Unfurnished,24500000.0,9423.076923076924
Noida,Greater Noida,Beta 1,850.0,1,Apartment,Unfurnished,5200000.0,6117.64705882353
Noida,Greater Noida,Beta 1,2400.0,5,Apartment,Unfurnished,21200000.0,8833.333333333334
Noida,Greater Noida,Beta 1,1300.0,3,Apartment,Unfurnished,7800000.0,6000.0
Noida,Greater Noida,Beta 1,1700.0,4,Apartment,Unfurnished,12500000.0,7352.941176470588
Noida,Greater Noida,Beta 2,1800.0,4,Apartment,Semi-Furnished,13800000.0,7666.666666666667
Noida,Greater Noida,Beta 2,2800.0,5,Independent House,Semi-Furnished,27500000.0,9821.42857142857
Noida,Greater Noida,Beta 2,1400.0,3,Apartment,Semi-Furnished,8500000.0,6071.428571428572
Noida,Greater Noida,Beta 2,900.0,1,Apartment,Semi-Furnished,5800000.0,6444.444444444444
Noida,Greater Noida,Beta 2,2500.0,5,Apartment,Semi-Furnished,23800000.0,9520.0
Noida,Greater Noida,Gamma 1,2450.0,5,Apartment,Semi-Furnished,22800000.0,9306.122448979591
Noida,Greater Noida,Gamma 1,1350.0,3,Apartment,Semi-Furnished,8200000.0,6074.074074074074
Noida,Greater Noida,Gamma 1,2700.0,5,Independent House,Semi-Furnished,26200000.0,9703.703703703704
Noida,Greater Noida,Gamma 1,1750.0,4,Apartment,Semi-Furnished,13200000.0,7542.857142857143
Noida,Greater Noida,Gamma 1,850.0,1,Apartment,Semi-Furnished,5500000.0,6470.588235294118
Noida,Greater Noida,Pari Chowk,900.0,1,Apartment,Fully Furnished,5800000.0,6444.444444444444
Noida,Greater Noida,Pari Chowk,2800.0,5,Independent House,Fully Furnished,28500000.0,10178.57142857143
Noida,Greater Noida,Pari Chowk,1800.0,4,Apartment,Fully Furnished,14200000.0,7888.888888888889
Noida,Greater Noida,Pari Chowk,1400.0,3,Apartment,Fully Furnished,8800000.0,6285.714285714285
Noida,Greater Noida,Pari Chowk,2500.0,5,Apartment,Fully Furnished,24500000.0,9800.0
Noida,Knowledge Park,Greater Noida,900.0,1,Apartment,Semi-Furnished,5200000.0,5777.777777777777
Noida,Knowledge Park,Greater Noida,2400.0,5,Apartment,Semi-Furnished,22500000.0,9375.0
Noida,Knowledge Park,Greater Noida,2600.0,5,Independent House,Semi-Furnished,26500000.0,10192.307692307691
Noida,Knowledge Park,Greater Noida,1700.0,4,Apartment,Semi-Furnished,12500000.0,7352.941176470588
Noida,Knowledge Park,Greater Noida,1300.0,3,Apartment,Semi-Furnished,7800000.0,6000.0
Noida,Knowledge Park,Knowledge Park 2,2500.0,4,Independent House,Unfurnished,22500000.0,9000.0
Noida,Knowledge Park,Knowledge Park 2,850.0,1,Apartment,Unfurnished,4800000.0,5647.058823529412
Noida,Knowledge Park,Knowledge Park 2,2350.0,5,Apartment,Unfurnished,20500000.0,8723.404255319148
Noida,Knowledge Park,Knowledge Park 2,1250.0,3,Apartment,Unfurnished,7200000.0,5760.0
Noida,Knowledge Park,Knowledge Park 2,1650.0,4,Apartment,Unfurnished,11500000.0,6969.69696969697
Noida,Knowledge Park,Knowledge Park 3,2700.0,5,Independent House,Semi-Furnished,28500000.0,10555.555555555555
Noida,Knowledge Park,Knowledge Park 3,1750.0,4,Apartment,Semi-Furnished,13500000.0,7714.285714285715
Noida,Knowledge Park,Knowledge Park 3,1350.0,3,Apartment,Semi-Furnished,8200000.0,6074.074074074074
Noida,Knowledge Park,Knowledge Park 3,2450.0,5,Apartment,Semi-Furnished,24500000.0,10000.0
Noida,Knowledge Park,Knowledge Park 3,950.0,1,Apartment,Semi-Furnished,5800000.0,6105.263157894737
Noida,Sector 104,Greater Noida West,800.0,1,Apartment,Semi-Furnished,4500000.0,5625.0
Noida,Sector 104,Greater Noida West,2400.0,4,Builder Floor,Semi-Furnished,22500000.0,9375.0
Noida,Sector 104,Greater Noida West,1200.0,2,Apartment,Semi-Furnished,6800000.0,5666.666666666667
Noida,Sector 104,Greater Noida West,2250.0,5,Apartment,Semi-Furnished,20500000.0,9111.111111111111
Noida,Sector 104,Greater Noida West,1550.0,3,Apartment,Semi-Furnished,10800000.0,6967.741935483871
Noida,Sector 104,Sector 105,750.0,1,Apartment,Unfurnished,4200000.0,5600.0
Noida,Sector 104,Sector 105,2300.0,4,Builder Floor,Unfurnished,20500000.0,8913.04347826087
Noida,Sector 104,Sector 105,2200.0,5,Apartment,Unfurnished,18500000.0,8409.09090909091
Noida,Sector 104,Sector 105,1500.0,3,Apartment,Unfurnished,9800000.0,6533.333333333333
