District,Sub_District,Area_SqFt,BHK,Property_Type,Furnishing,Price_INR
Koramangala,Koramangala 1st Block,1200,2,Apartment,Semi-Furnished,12500000
Koramangala,Koramangala 2nd Block,1150,2,Apartment,Fully Furnished,11800000
Koramangala,Koramangala 3rd Block,1100,2,Apartment,Unfurnished,10500000
Koramangala,Koramangala 4th Block,1250,2,Apartment,Semi-Furnished,13200000
Koramangala,Koramangala 5th Block,1200,2,Apartment,Semi-Furnished,12800000
Koramangala,Koramangala 6th Block,1180,2,Apartment,Unfurnished,11500000
Koramangala,Koramangala 7th Block,1220,2,Apartment,Fully Furnished,13500000
Koramangala,Koramangala 8th Block,1150,2,Apartment,Semi-Furnished,12200000
Whitefield,Brookefield,1300,3,Apartment,Fully Furnished,9800000
Whitefield,ITPL Main Road,1250,3,Apartment,Semi-Furnished,9200000
Whitefield,Varthur Road,1200,3,Apartment,Unfurnished,8500000
Whitefield,Whitefield Main Road,1350,3,Apartment,Semi-Furnished,10200000
Whitefield,Kadugodi,1280,3,Apartment,Semi-Furnished,9500000
Whitefield,Marathahalli,1320,3,Apartment,Fully Furnished,10500000
Electronic City,Phase 1,1400,3,Apartment,Semi-Furnished,8200000
Electronic City,Phase 2,1350,3,Apartment,Unfurnished,7800000
Electronic City,Bommasandra,1300,3,Apartment,Semi-Furnished,7500000
Electronic City,Chandapura,1250,3,Apartment,Unfurnished,6800000
Electronic City,Anekal,1200,3,Apartment,Semi-Furnished,6500000
Bannerghatta Road,Arekere,1250,3,Apartment,Semi-Furnished,8500000
Bannerghatta Road,Hulimavu,1200,3,Apartment,Unfurnished,7800000
Bannerghatta Road,Gottigere,1180,2,Apartment,Semi-Furnished,7200000
Bannerghatta Road,JP Nagar 9th Phase,1350,3,Apartment,Fully Furnished,9500000
Bannerghatta Road,Bilekahalli,1280,3,Apartment,Semi-Furnished,8800000
Indiranagar,Indiranagar 100 Feet Road,1150,2,Apartment,Fully Furnished,14500000
Indiranagar,Indiranagar 12th Main,1100,2,Apartment,Semi-Furnished,13200000
Indiranagar,Double Road,1200,2,Apartment,Fully Furnished,15200000
Indiranagar,CMH Road,1120,2,Apartment,Semi-Furnished,13800000
JP Nagar,JP Nagar 1st Phase,1200,2,Apartment,Semi-Furnished,9500000
JP Nagar,JP Nagar 2nd Phase,1180,2,Apartment,Unfurnished,8800000
JP Nagar,JP Nagar 3rd Phase,1150,2,Apartment,Semi-Furnished,8500000
JP Nagar,JP Nagar 4th Phase,1220,2,Apartment,Semi-Furnished,9200000
JP Nagar,JP Nagar 5th Phase,1200,2,Apartment,Unfurnished,8800000
JP Nagar,JP Nagar 6th Phase,1250,3,Apartment,Semi-Furnished,10200000
JP Nagar,JP Nagar 7th Phase,1280,3,Apartment,Semi-Furnished,10800000
JP Nagar,JP Nagar 8th Phase,1300,3,Apartment,Fully Furnished,11500000
HSR Layout,Sector 1,1350,3,Apartment,Fully Furnished,12500000
HSR Layout,Sector 2,1300,3,Apartment,Semi-Furnished,11800000
HSR Layout,Sector 3,1280,3,Apartment,Semi-Furnished,11200000
HSR Layout,Sector 4,1320,3,Apartment,Unfurnished,10800000
HSR Layout,Sector 6,1350,3,Apartment,Semi-Furnished,12200000
HSR Layout,Sector 7,1380,3,Apartment,Fully Furnished,13200000
BTM Layout,BTM 1st Stage,1100,2,Apartment,Semi-Furnished,8500000
BTM Layout,BTM 2nd Stage,1050,2,Apartment,Unfurnished,7800000
BTM Layout,Silk Board,1120,2,Apartment,Semi-Furnished,8800000
Jayanagar,Jayanagar 1st Block,1200,2,Apartment,Semi-Furnished,11500000
Jayanagar,Jayanagar 2nd Block,1180,2,Apartment,Unfurnished,10800000
