city,district,sub_district,area_sqft,bhk,property_type,furnishing,price_inr,price_per_sqft
Mumbai,Andheri,Andheri East,1700.0,3,Builder Floor,Unfurnished,24800000.0,14588.235294117647
Mumbai,Andheri,Andheri East,1050.0,2,Apartment,Semi-Furnished,11200000.0,10666.666666666666
Mumbai,Andheri,Andheri East,700.0,1,Apartment,Semi-Furnished,8200000.0,11714.285714285714
Mumbai,Andheri,Andheri East,1550.0,3,Apartment,Semi-Furnished,19500000.0,12580.645161290322
Mumbai,Andheri,Andheri East,2350.0,4,Apartment,Semi-Furnished,35200000.0,14978.72340425532
Mumbai,Andheri,Andheri West,2400.0,4,Apartment,Unfurnished,38500000.0,16041.666666666666
Mumbai,Andheri,Andheri West,1800.0,3,Builder Floor,Semi-Furnished,28500000.0,15833.333333333334
Mumbai,Andheri,Andheri West,1600.0,3,Apartment,Unfurnished,21200000.0,13250.0
Mumbai,Andheri,Andheri West,1100.0,2,Apartment,Unfurnished,12800000.0,11636.363636363636
Mumbai,Andheri,Andheri West,750.0,1,Apartment,Unfurnished,8800000.0,11733.333333333334
Mumbai,Bandra,Bandra East,800.0,1,Apartment,Fully Furnished,11200000.0,14000.0
Mumbai,Bandra,Bandra East,2650.0,5,Apartment,Fully Furnished,46500000.0,17547.169811320753
Mumbai,Bandra,Bandra East,950.0,2,Apartment,Fully Furnished,14200000.0,14947.368421052632
Mumbai,Bandra,Bandra East,2000.0,4,Independent House,Unfurnished,45000000.0,22500.0
Mumbai,Bandra,Bandra East,1700.0,3,Apartment,Fully Furnished,24800000.0,14588.235294117647
Mumbai,Bandra,Bandra West,2200.0,4,Independent House,Semi-Furnished,52000000.0,23636.363636363636
Mumbai,Bandra,Bandra West,850.0,1,Apartment,Semi-Furnished,12500000.0,14705.882352941177
Mumbai,Bandra,Bandra West,2800.0,5,Apartment,Semi-Furnished,52000000.0,18571.428571428572
Mumbai,Bandra,Bandra West,1800.0,3,Apartment,Semi-Furnished,28500000.0,15833.333333333334
Mumbai,Bandra,Bandra West,1200.0,2,Apartment,Semi-Furnished,18500000.0,15416.666666666666
Mumbai,Bhandup,Bhandup East,1700.0,3,Builder Floor,Semi-Furnished,22500000.0,13235.29411764706
Mumbai,Bhandup,Bhandup East,1100.0,2,Apartment,Semi-Furnished,9200000.0,8363.636363636364
Mumbai,Bhandup,Bhandup East,2450.0,4,Apartment,Semi-Furnished,27200000.0,11102.040816326531
Mumbai,Bhandup,Bhandup East,1600.0,3,Apartment,Semi-Furnished,15800000.0,9875.0
Mumbai,Bhandup,Bhandup East,800.0,1,Apartment,Semi-Furnished,6800000.0,8500.0
Mumbai,Bhandup,Bhandup West,2500.0,4,Apartment,Unfurnished,29500000.0,11800.0
Mumbai,Bhandup,Bhandup West,850.0,1,Apartment,Unfurnished,7200000.0,8470.588235294117
Mumbai,Bhandup,Bhandup West,1800.0,3,Builder Floor,Unfurnished,24800000.0,13777.777777777777
Mumbai,Bhandup,Bhandup West,1650.0,3,Apartment,Unfurnished,17200000.0,10424.242424242424
Mumbai,Bhandup,Bhandup West,1150.0,2,Apartment,Unfurnished,9800000.0,8521.739130434782
Mumbai,Borivali,Borivali East,1650.0,3,Apartment,Semi-Furnished,15000000.0,9090.90909090909
Mumbai,Borivali,Borivali East,2350.0,4,Apartment,Semi-Furnished,26500000.0,11276.595744680852
Mumbai,Borivali,Borivali East,750.0,1,Apartment,Semi-Furnished,6000000.0,8000.0
Mumbai,Borivali,Borivali East,1100.0,2,Apartment,Semi-Furnished,8400000.0,7636.363636363636
Mumbai,Borivali,Borivali East,1800.0,3,Builder Floor,Semi-Furnished,20500000.0,11388.888888888889
Mumbai,Borivali,Borivali West,800.0,1,Apartment,Unfurnished,6500000.0,8125.0
Mumbai,Borivali,Borivali West,1200.0,2,Apartment,Unfurnished,9200000.0,7666.666666666667
