city,district,sub_district,area_sqft,bhk,property_type,furnishing,price_inr,price_per_sqft
Delhi,Central Delhi,Connaught Place,2500.0,5,Independent House,Semi-Furnished,85000000.0,34000.0
Delhi,Central Delhi,Connaught Place,1200.0,2,Apartment,Semi-Furnished,28500000.0,23750.0
Delhi,Central Delhi,Connaught Place,2200.0,5,Apartment,Semi-Furnished,68500000.0,31136.363636363636
Delhi,Central Delhi,Connaught Place,1600.0,3,Apartment,Semi-Furnished,42500000.0,26562.5
Delhi,Central Delhi,Connaught Place,800.0,1,Apartment,Semi-Furnished,18500000.0,23125.0
Delhi,Central Delhi,Karol Bagh,1100.0,2,Apartment,Fully Furnished,22500000.0,20454.545454545456
Delhi,Central Delhi,Karol Bagh,2100.0,4,Apartment,Fully Furnished,58500000.0,27857.14285714286
Delhi,Central Delhi,Karol Bagh,2200.0,4,Independent House,Fully Furnished,65000000.0,29545.454545454544
Delhi,Central Delhi,Karol Bagh,750.0,1,Apartment,Fully Furnished,15500000.0,20666.666666666668
Delhi,Central Delhi,Karol Bagh,1550.0,3,Apartment,Fully Furnished,36500000.0,23548.387096774193
Delhi,Central Delhi,Paharganj,2000.0,4,Apartment,Unfurnished,45500000.0,22750.0
Delhi,Central Delhi,Paharganj,1000.0,2,Apartment,Unfurnished,18500000.0,18500.0
Delhi,Central Delhi,Paharganj,2000.0,4,Independent House,Unfurnished,48500000.0,24250.0
Delhi,Central Delhi,Paharganj,700.0,1,Apartment,Unfurnished,12500000.0,17857.14285714286
Delhi,Central Delhi,Paharganj,1500.0,3,Apartment,Unfurnished,28500000.0,19000.0
Delhi,East Delhi,IP Extension,1950.0,4,Apartment,Unfurnished,34500000.0,17692.30769230769
Delhi,East Delhi,IP Extension,650.0,1,Apartment,Unfurnished,8800000.0,13538.461538461539
Delhi,East Delhi,IP Extension,1450.0,3,Apartment,Unfurnished,21200000.0,14620.689655172413
Delhi,East Delhi,IP Extension,1900.0,3,Builder Floor,Unfurnished,35500000.0,18684.21052631579
Delhi,East Delhi,IP Extension,950.0,2,Apartment,Unfurnished,12200000.0,12842.105263157895
Delhi,East Delhi,Krishna Nagar,1000.0,2,Apartment,Semi-Furnished,13500000.0,13500.0
Delhi,East Delhi,Krishna Nagar,2000.0,4,Builder Floor,Semi-Furnished,39500000.0,19750.0
Delhi,East Delhi,Krishna Nagar,700.0,1,Apartment,Semi-Furnished,9800000.0,14000.0
Delhi,East Delhi,Krishna Nagar,2000.0,4,Apartment,Semi-Furnished,37500000.0,18750.0
Delhi,East Delhi,Krishna Nagar,1500.0,3,Apartment,Semi-Furnished,23500000.0,15666.666666666666
Delhi,East Delhi,Laxmi Nagar,1000.0,2,Apartment,Unfurnished,12800000.0,12800.0
Delhi,East Delhi,Laxmi Nagar,700.0,1,Apartment,Unfurnished,9200000.0,13142.857142857143
Delhi,East Delhi,Laxmi Nagar,2000.0,4,Apartment,Unfurnished,36500000.0,18250.0
Delhi,East Delhi,Laxmi Nagar,2000.0,4,Builder Floor,Unfurnished,38500000.0,19250.0
Delhi,East Delhi,Laxmi Nagar,1500.0,3,Apartment,Unfurnished,22500000.0,15000.0
Delhi,East Delhi,Mayur Vihar,1150.0,2,Apartment,Semi-Furnished,15800000.0,13739.130434782608
Delhi,East Delhi,Mayur Vihar,1600.0,3,Apartment,Semi-Furnished,27800000.0,17375.0
Delhi,East Delhi,Mayur Vihar,800.0,1,Apartment,Semi-Furnished,11500000.0,14375.0
Delhi,East Delhi,Mayur Vihar,2300.0,4,Builder Floor,Semi-Furnished,45500000.0,19782.608695652172
Delhi,East Delhi,Mayur Vihar,2150.0,4,Apartment,Semi-Furnished,43500000.0,20232.558139534885
Delhi,East Delhi,Preet Vihar,2200.0,4,Builder Floor,Semi-Furnished,42500000.0,19318.18181818182
Delhi,East Delhi,Preet Vihar,750.0,1,Apartment,Semi-Furnished,10500000.0,14000.0
Delhi,East Delhi,Preet Vihar,1100.0,2,Apartment,Semi-Furnished,14500000.0,13181.818181818182
Delhi,East Delhi,Preet Vihar,1550.0,3,Apartment,Semi-Furnished,25500000.0,16451.612903225807
Delhi,East Delhi,Preet Vihar,2100.0,4,Apartment,Semi-Furnished,40500000.0,19285.714285714286
Delhi,New Delhi,Chanakyapuri,2200.0,4,Apartment,Fully Furnished,95000000.0,43181.818181818184
Delhi,New Delhi,Chanakyapuri,3000.0,6,Apartment,Fully Furnished,185000000.0,61666.666666666664
Delhi,New Delhi,Chanakyapuri,1800.0,4,Apartment,Fully Furnished,65000000.0,36111.11111111111
Delhi,New Delhi,Chanakyapuri,4000.0,6,Independent House,Fully Furnished,285000000.0,71250.0
Delhi,New Delhi,Chanakyapuri,1200.0,2,Apartment,Fully Furnished,42500000.0,35416.666666666664
Delhi,New Delhi,Khan Market,1400.0,3,Apartment,Semi-Furnished,42500000.0,30357.14285714286
Delhi,New Delhi,Khan Market,1800.0,4,Apartment,Semi-Furnished,68500000.0,38055.555555555555
